2,0,1000,1,GDOP, 1224460800.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
40000,4063353.9314,-255064.5014,4893260.3770,-4.9968,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88012665342,-0.06268966085,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063353.9314,-255064.5014,4893260.3770,-4.9968,7.3986,4.5046,0.000,0.000,0.000,0.88012665342,-0.06268966085,50.0000,2.117
41000,4063348.9346,-255057.1028,4893264.8816,-4.9968,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88012776287,-0.06268792407,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063348.9346,-255057.1028,4893264.8816,-4.9968,7.3986,4.5046,0.000,0.000,0.000,0.88012776287,-0.06268792407,50.0000,2.117
42000,4063343.9377,-255049.7041,4893269.3863,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88012887232,-0.06268618728,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063343.9377,-255049.7041,4893269.3863,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.88012887232,-0.06268618728,50.0000,2.116
43000,4063338.9409,-255042.3055,4893273.8909,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88012998178,-0.06268445049,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063338.9409,-255042.3055,4893273.8909,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.88012998178,-0.06268445049,50.0000,2.116
44000,4063333.9440,-255034.9069,4893278.3955,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013109123,-0.06268271369,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063333.9440,-255034.9069,4893278.3955,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.88013109123,-0.06268271369,50.0000,2.116
45000,4063328.9471,-255027.5083,4893282.9002,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013220068,-0.06268097689,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063328.9471,-255027.5083,4893282.9002,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.88013220068,-0.06268097689,50.0000,2.116
46000,4063323.9502,-255020.1097,4893287.4048,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013331013,-0.06267924010,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063323.9502,-255020.1097,4893287.4048,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.88013331013,-0.06267924010,50.0000,2.116
47000,4063318.9532,-255012.7111,4893291.9094,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013441958,-0.06267750329,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063318.9532,-255012.7111,4893291.9094,-4.9969,7.3986,4.5046,0.000,0.000,0.000,0.88013441958,-0.06267750329,50.0000,2.116
48000,4063313.9563,-255005.3125,4893296.4140,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013552904,-0.06267576649,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063313.9563,-255005.3125,4893296.4140,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.88013552904,-0.06267576649,50.0000,2.114
49000,4063308.9593,-254997.9140,4893300.9186,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013663849,-0.06267402969,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063308.9593,-254997.9140,4893300.9186,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.88013663849,-0.06267402969,50.0000,2.114
50000,4063303.9623,-254990.5154,4893305.4232,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013774794,-0.06267229288,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063303.9623,-254990.5154,4893305.4232,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.88013774794,-0.06267229288,50.0000,2.114
51000,4063298.9653,-254983.1168,4893309.9278,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013885739,-0.06267055607,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063298.9653,-254983.1168,4893309.9278,-4.9970,7.3986,4.5046,0.000,0.000,0.000,0.88013885739,-0.06267055607,50.0000,2.114
52000,4063293.9683,-254975.7183,4893314.4323,-4.9970,7.3985,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88013996684,-0.06266881925,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063293.9683,-254975.7183,4893314.4323,-4.9970,7.3985,4.5046,0.000,0.000,0.000,0.88013996684,-0.06266881925,50.0000,2.114
53000,4063288.9712,-254968.3198,4893318.9369,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88014107630,-0.06266708244,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063288.9712,-254968.3198,4893318.9369,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.88014107630,-0.06266708244,50.0000,2.114
54000,4063283.9742,-254960.9212,4893323.4415,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88014218575,-0.06266534562,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063283.9742,-254960.9212,4893323.4415,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.88014218575,-0.06266534562,50.0000,2.113
55000,4063278.9771,-254953.5227,4893327.9460,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88014329520,-0.06266360880,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063278.9771,-254953.5227,4893327.9460,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.88014329520,-0.06266360880,50.0000,2.113
56000,4063273.9800,-254946.1242,4893332.4506,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.000,0.000,0.000,0.88014440465,-0.06266187198,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063273.9800,-254946.1242,4893332.4506,-4.9971,7.3985,4.5046,0.000,0.000,0.000,0.88014440465,-0.06266187198,50.0000,2.113
57000,4063268.9829,-254938.7257,4893336.9552,-4.9971,7.3985,4.5045,0.000,0.000,0.000,0.000,0.000,0.000,0.88014551411,-0.06266013515,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063268.9829,-254938.7257,4893336.9552,-4.9971,7.3985,4.5045,0.000,0.000,0.000,0.88014551411,-0.06266013515,50.0000,2.113
58000,4063263.9858,-254931.3272,4893341.4597,-4.9971,7.3985,4.5045,0.000,0.000,0.000,0.000,0.000,0.000,0.88014662356,-0.06265839833,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063263.9858,-254931.3272,4893341.4597,-4.9971,7.3985,4.5045,0.000,0.000,0.000,0.88014662356,-0.06265839833,50.0000,2.113
59000,4063258.9886,-254923.9287,4893345.9642,-4.9972,7.3985,4.5045,0.000,0.000,0.000,0.000,0.000,0.000,0.88014773301,-0.06265666150,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063258.9886,-254923.9287,4893345.9642,-4.9972,7.3985,4.5045,0.000,0.000,0.000,0.88014773301,-0.06265666150,50.0000,2.113
60000,4063253.9914,-254916.5302,4893350.4688,-4.9972,7.3985,4.5045,0.000,0.000,0.000,0.000,0.000,0.000,0.88014884246,-0.06265492467,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063253.9914,-254916.5302,4893350.4688,-4.9972,7.3985,4.5045,0.000,0.000,0.000,0.88014884246,-0.06265492467,50.0000,2.112
61000,4063248.9943,-254909.1317,4893354.9733,-4.9972,7.3985,4.5045,0.000,0.000,0.000,0.000,0.000,0.000,0.88014995191,-0.06265318783,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063248.9943,-254909.1317,4893354.9733,-4.9972,7.3985,4.5045,0.000,0.000,0.000,0.88014995191,-0.06265318783,50.0000,2.112
